"zipcode","top_first","top_second","count_patients_1","count_patients_2"
"00623","custom",NA,1,0
"00718","E11.69","I65.29",1,3
"00741","I25.10","E03.8",1,3
"00778","E11.65","custom",1,6
"00915","J31.0","J32.9",1,1
"00985","E03.9","I10",1,18
"01022","R21","B35.1",1,1
"01060","S82.002D","I10",1,4
"01081","V74.1",NA,1,0
"01106","Z13.89","Z68.1",1,1
"01108","Z71.3","E66.01",2,2
"01151","Z71.3",NA,1,0
"01470","N39.0",NA,1,0
"01520","Z68.24","M62.82",1,1
"01550","M54.9","Z68.29",1,1
"01581","P03.819","P03.810",2,4
"01604","Z68.28","Z01.89",1,2
"01830","I10","J30.1",1,3
"01841","Z71.3","L03.90",2,2
"01843","J02.0",NA,1,0
"01880","Z68.25","B34.9",1,1
"01904","E65","Z71.3",1,1
"01960","I10","E11.65",1,3
"01970","custom","G47.00",1,7
"02045","Z68.30","J01.90",1,1
"02067","custom",NA,1,0
"02081","R21","S10.86XA",1,1
"02111","E65",NA,1,0
"02113","N39.0","H60.90",1,1
"02124","Z71.3",NA,1,0
"02131","T78.40XA",NA,1,0
"02132","I10","Z01.810",1,1
"02140","Z00.00","Z11.1",1,1
"02144","J30.89","Z68.39",1,1
"02150","custom","M25.569",1,1
"02151","Z71.3",NA,1,0
"02152","S29.019A","M94.0",1,1
"02169","custom",NA,1,0
"02481","J03.00","J45.901",1,1
"02492","custom",NA,1,0
"02571","custom",NA,1,0
"02828","K52.9","Z13.89",1,1
"02860","Z71.3",NA,1,0
"02882","D51.0","J44.9",1,9
"02889","D51.0","E29.1",2,17
"02894","N92.1","R30.0",1,1
"02904","Z68.27","J02.9",1,1
"02905","Z71.3","E65",2,2
"02906","Z48.02",NA,1,0
"02907","Z71.3","I10",5,3
"02908","Z09","Z68.26",2,3
"02909","M72.2","I10",1,3
"02910","E78.4","M19.90",1,2
"02912","custom",NA,1,0
"02914","Z71.3",NA,2,0
"02920","custom",NA,1,0
"02921","custom",NA,1,0
"03301","S09.92XA","M53.3",1,1
"03801","custom",NA,1,0
"03857","Z11.1",NA,1,0
"04038","D51.0","J45.901",1,4
"04071","S51.811A","Z68.25",1,1
"04079","custom",NA,1,0
"04103","Z13.89","Z01.818",1,1
"04543","L03.115",NA,1,0
"04631","J30.89",NA,1,0
"05672","N44.8","B00.2",1,1
"06010","M54.9","N48.1",1,5
"06067","Z68.52","K52.9",1,2
"06107","R50.9","K21.9",1,1
"06108","J30.89","Z68.21",1,1
"06110","Z23","J02.9",1,1
"06118","E55.9","Z09",1,1
"06119","Z12.5","E78.5",1,1
"06262","Z68.25","Z01.89",1,1
"06320","E66.09","Z71.3",2,2
"06357","custom",NA,1,0
"06360","Z71.3","Z68.27",3,1
"06382","F90.9","F41.9",1,18
"06418","Z13.89","T14.8",1,1
"06437","I48.91","I82.409",1,8
"06450","custom","F34.81",2,8
"06460","custom","I46.9",1,1
"06477","Z71.89","Z23",1,1
"06478","E78.4","I10",1,5
"06482","R21",NA,1,0
"06484","F90.9","E66.9",1,8
"06488","custom",NA,2,0
"06511","Z00.00","F32.9",1,1
"06513","custom","K29.00",1,8
"06514","I10","E66.01",2,3
"06515","custom","V70.0",1,1
"06516","Z68.29","Z68.32",1,2
"06519","F90.0","F33.1",1,24
"06604","E66.09","M54.5",1,6
"06605","R13.10","I10",1,19
"06606","Z71.3","E78.5",1,4
"06608","E11.9","F17.200",1,5
"06610","E78.5","custom",3,14
"06611","Z68.23","D57.3",2,4
"06612","F90.9","custom",1,5
"06614","Z00.00","Z13.89",6,11
"06615","E78.0","E78.00",1,1
"06704","Z71.3","B86",1,3
"06705","custom","N52.9",2,5
"06708","custom","Z00.00",2,4
"06716","Z00.00","N47.1",1,1
"06770","F03.90","I48.91",1,15
"06776","Z68.23","E10.9",1,5
"06790","Z71.3",NA,1,0
"06801","Z00.129","Z23",1,2
"06810","custom","N76.0",5,9
"06811","E03.9","custom",3,34
"06812","E29.1","Z68.34",1,7
"06820","S62.609A","R60.0",1,1
"06824","custom","Z71.3",2,4
"06830","E78.5","M25.512",1,2
"06831","Z71.3","R21",1,1
"06850","Z13.89","Z68.20",1,1
"06851","R23.4","T14.8XXA",1,1
"06852","Z00.00","Z71.7",1,1
"06854","Z71.3","I10",3,2
"06877","E78.5","D51.0",2,36
"06878","I25.10","I10",1,2
"06880","Z68.1","K80.20",1,2
"06897","D64.9","custom",2,5
"06901","F41.9","custom",1,3
"06902","I12.9","E11.65",1,33
"06905","Z23","Z13.89",3,5
"06906","R42","R94.31",1,1
"06907","custom","Z00.00",2,6
"07002","E03.9","J44.9",1,12
"07003","custom","F03.90",1,18
"07004","Z71.3","Z68.37",1,2
"07006","E29.1","Z68.27",1,8
"07008","custom","J02.9",2,1
"07010","Z00.00","E03.9",8,11
"07011","I10","Z68.26",3,8
"07012","E65","Z68.20",1,1
"07013","I10","J45.901",1,10
"07014","I10","Z68.28",1,2
"07016","J98.01","L30.9",1,1
"07017","N39.41","E66.01",1,1
"07018","Z68.31","R91.1",1,2
"07020","E78.5","Z00.00",3,5
"07022","I10","Z71.3",3,20
"07024","I10","custom",11,81
"07026","custom","I10",4,15
"07029","Z68.31","Z13.89",1,1
"07030","J06.9","R09.81",1,1
"07031","N39.0","custom",1,6
"07032","I10","E11.00",2,9
"07035","R73.01","Z00.8",1,5
"07036","Z71.3","E66.9",1,2
"07039","Z32.02","Z01.89",1,1
"07040","Z01.89","J02.0",1,1
"07041","G47.00","F41.9",1,5
"07042","M54.9","R51",1,1
"07044","Z71.3","R13.10",1,1
"07045","E65","Z01.812",1,1
"07047","I10","custom",7,36
"07050","custom","G43.909",2,5
"07052","E03.9","Z71.3",1,4
"07055","D86.9","Z95.810",1,6
"07057","Z11.3","Z00.01",1,2
"07060","Z01.89","R10.32",1,1
"07063","Z71.3","V72.9",1,1
"07067","custom","V67.9",1,1
"07071","Z01.89","Z32.02",4,5
"07072","custom","Z68.25",1,2
"07075","E29.1","I10",1,10
"07081","E55.9","R53.83",1,2
"07083","E11.9","I10",1,18
"07086","F90.9","Z23",1,9
"07087","custom","F41.9",5,16
"07090","custom","V20.2",2,1
"07093","custom","Z00.00",10,14
"07094","M12.9","E78.2",1,8
"07101","Z01.89","Z68.34",1,7
"07102","Z68.37","custom",1,3
"07103","I10","Z68.51",3,6
"07104","Z71.3","Z00.00",3,5
"07105","J02.9","G43.109",1,1
"07107","Z00.00","Z01.89",2,2
"07108","Z68.52","Z00.129",3,3
"07109","Z12.39","J30.89",1,1
"07110","F41.9","N45.1",1,1
"07111","E66.01","J45.909",1,3
"07112","Z71.3",NA,1,0
"07201","Z00.00","Z13.29",2,1
"07202","E66.09","E78.4",1,3
"07203","Z13.89","Z68.42",1,1
"07204","Z12.31","Z11.1",1,1
"07206","Z68.24","Z00.00",1,8
"07207","J03.90",NA,1,0
"07208","L02.511","J30.2",1,1
"07302","E11.21","N18.2",2,51
"07304","custom","Z68.24",3,6
"07305","I10","J45.991",4,11
"07306","Z00.00","E78.5",3,4
"07307","Z68.25","F10.10",1,2
"07407","I10","N40.0",3,10
"07410","I10","custom",2,5
"07419","Z51.89","Z48.02",1,1
"07424","custom","I10",2,1
"07430","E55.9","E05.90",2,3
"07438","custom","Z68.23",2,2
"07442","Z68.29","M54.5",1,2
"07444","Z01.810","L80",1,1
"07446","E78.5","I10",1,14
"07450","I10","F03.90",1,25
"07457","R50.9","R06.02",1,1
"07461","Z71.3","E66.9",1,1
"07463","F90.9","F32.9",1,19
"07465","R26.9",NA,1,0
"07470","Z71.3",NA,1,0
"07501","R21","Z71.3",1,6
"07502","I10","E34.9",1,1
"07503","custom",NA,1,0
"07504","E03.9","I10",1,6
"07506","custom","G43.909",3,6
"07508","I10","F41.9",1,9
"07512","G89.29","M54.5",1,1
"07513","Z68.30","Z09",1,3
"07514","custom","Z00.00",4,3
"07522","Z71.3","E66.09",3,1
"07524","Z71.3","Z68.25",2,2
"07601","custom","Z00.00",17,25
"07603","I10","custom",7,32
"07604","Z71.3",NA,1,0
"07605","E11.9","I10",1,4
"07607","I10","E78.5",2,7
"07608","F17.211","F17.210",2,3
"07620","N76.0","N89.8",1,1
"07621","custom","I10",23,42
"07624","D25.9","J06.0",1,3
"07626","E66.9","Z71.3",1,1
"07628","I12.9","E11.21",1,29
"07630","F06.4","N94.4",1,5
"07631","Z68.22","E78.4",3,15
"07632","R06.02","R10.9",1,1
"07640","F52.21",NA,1,0
"07643","Z71.3","I10",4,9
"07644","Z23","Z68.52",3,8
"07646","I10","E78.5",5,22
"07648","Z12.11","custom",1,4
"07649","R41.840","I10",3,15
"07650","custom","Z00.00",5,4
"07652","Z71.3","custom",1,4
"07656","J40","Z01.89",1,1
"07657","Z68.52","Z00.00",2,12
"07660","custom","I10",3,6
"07661","Z71.3","E55.9",1,1
"07662","custom","F17.200",1,2
"07663","J44.9","I10",1,6
"07666","I10","custom",15,66
"07670","Z23","E66.09",4,5
"07675","R05","custom",1,2
"07676","S72.009A","L63.9",1,1
"07712","custom","I10",1,18
"07715","R61","K74.60",1,1
"07719","J02.9","Z68.35",1,2
"07722","custom",NA,1,0
"07726","custom","Z68.52",2,4
"07728","R05","F03.90",1,1
"07730","custom",NA,1,0
"07733","I10","E78.5",1,3
"07734","Z68.36","J03.00",1,1
"07740","Z71.3","custom",1,2
"07747","Z68.52","H10.9",1,2
"07748","Z00.00","R76.11",1,2
"07751","Z91.81","Z68.38",1,1
"07753","B97.89",NA,1,0
"07755","R63.1","R11.0",1,1
"07756","E11.9","I10",1,5
"07757","Z00.121","Z68.54",1,1
"07762","R29.6","F03.90",1,2
"07801","custom","R51",1,1
"07826","R50.9","R10.32",1,1
"07836","custom",NA,1,0
"07840","I10","Z68.36",2,7
"07866","Z02.9","Z12.4",1,1
"07885","I10","Z68.24",1,1
"07901","custom","F10.10",1,1
"07920","J06.0","custom",1,1
"07932","R05",NA,1,0
"07960","E66.9","E66.3",1,1
"08002","J02.0",NA,1,0
"08046","Z71.3",NA,1,0
"08053","V70.0","custom",1,1
"08054","J02.9","R05",1,1
"08062","custom",NA,1,0
"08071","Z01.89","Z68.24",1,1
"08080","V74.5","custom",1,1
"08110","custom",NA,1,0
"08234","E11.9","I10",1,6
"08502","custom",NA,1,0
"08520","Z01.89","Z68.33",1,1
"08540","custom","V06.1",1,1
"08611","Z68.34","E11.9",1,2
"08618","R50.9","J02.9",1,2
"08620","Z71.3",NA,1,0
"08648","D64.9","R05",1,2
"08701","Z13.89","J32.9",1,2
"08723","Z71.3",NA,1,0
"08724","M62.81","E03.9",1,2
"08736","Z00.00","E11.9",1,1
"08805","custom","F41.9",1,1
"08816","L03.012",NA,1,0
"08817","Z00.00","Z71.3",1,3
"08820","L03.119","E03.9",1,1
"08822","F03.90","S30.0XXA",1,1
"08831","custom","C80.1",2,4
"08840","J32.9","custom",1,7
"08844","R20.2",NA,1,0
"08846","Z71.3",NA,1,0
"08857","custom","E55.9",3,4
"08859","Z68.29","Z68.30",1,1
"08861","Z71.3","I10",4,3
"08867","J02.9","R50.9",1,1
"08872","E11.9","I10",1,2
"08873","Z71.3","K63.2",1,4
"08876","Z68.51","J00",1,1
"08879","M54.5","custom",1,1
"08882","R10.2","Z68.24",1,4
"08884","I10","F03.90",1,21
"08901","Z13.89","Z68.30",1,3
"08902","Z71.3","Z68.52",3,1
"08904","custom","Z68.25",2,2
"10001","I10","Z00.00",36,83
"10002","I10","custom",18,48
"10003","Z00.00","I10",10,15
"10004","I10","G20",3,34
"10005","Z68.52","J06.9",1,1
"10007","P03.810","custom",4,8
"10009","I10","E78.5",12,44
"10010","I10","custom",8,30
"10011","I10","custom",5,16
"10012","custom","I10",5,10
"10013","J03.00","Z01.89",1,2
"10014","I10","M25.50",6,9
"10016","I10","E55.9",5,12
"10017","I10","N40.0",2,9
"10018","custom","Z00.00",7,9
"10019","I10","E11.9",30,68
"10020","R73.02","Z68.28",1,2
"10021","I10","custom",7,18
"10022","custom","I10",10,62
"10023","I10","Z71.3",23,88
"10024","I10","custom",40,118
"10025","E78.2","I10",424,2345
"10026","I10","custom",73,217
"10027","I10","custom",138,502
"10028","custom","I10",11,15
"10029","I10","custom",109,399
"10030","I10","custom",72,264
"10031","I10","custom",342,1269
"10032","I10","custom",879,2942
"10033","I10","Z01.89",2178,9857
"10034","I10","E78.00",2040,4915
"10035","I10","custom",81,236
"10036","I10","custom",14,47
"10037","I10","custom",38,139
"10038","I10","E55.9",12,26
"10039","I10","custom",82,261
"10040","I10","Z00.00",1828,4665
"10041","R07.9","E78.5",1,1
"10044","I10","E78.5",4,17
"10045","custom","R05",2,1
"10046","Z11.3","custom",1,2
"10048","Z13.5","Z68.31",1,1
"10055","Z09","Z01.89",1,2
"10060","custom","Z01.89",1,1
"10069","Z68.36","I10",1,7
"10072","Z23","J30.9",2,1
"10101","custom","R41.840",3,8
"10107","Z68.31","custom",1,1
"10116","I10","D55.0",2,10
"10125","custom","M25.562",1,1
"10128","I10","custom",19,105
"10138","J20.9","Z68.22",1,1
"10151","I10","I73.9",1,1
"10159","Z00.00","N94.9",1,1
"10163","I10","Z00.00",2,5
"10165","I50.9","L03.90",1,4
"10169","custom","Z00.8",1,1
"10185","R94.31","Z00.00",1,1
"10256","I10","E78.0",1,1
"10271","J06.0","Z68.30",1,1
"10276","custom","R76.11",1,1
"10280","F32.9","Z68.29",1,5
"10301","I10","S83.241D",4,16
"10302","Z76.0","Z01.89",3,15
"10303","I10","Z71.3",3,12
"10304","Z00.00","custom",8,12
"10305","E11.40","I10",2,21
"10306","Z71.89","Z71.3",2,11
"10307","I10","R07.9",1,1
"10309","custom",NA,1,0
"10310","Z71.3","I12.9",2,5
"10312","R73.01","Z71.89",1,13
"10314","I10","E78.5",5,17
"10451","I10","custom",415,1250
"10452","I10","custom",942,4320
"10453","I10","custom",759,3072
"10454","I10","custom",164,587
"10455","I10","custom",278,1236
"10456","I10","custom",1458,9937
"10457","I10","custom",489,2054
"10458","I10","custom",430,1759
"10459","I10","custom",676,2250
"10460","I10","custom",703,2473
"10461","I10","custom",281,668
"10462","I10","custom",457,912
"10463","custom","I10",5813,17858
"10464","I10","custom",11,35
"10465","I10","custom",169,447
"10466","I10","custom",247,790
"10467","I10","custom",630,1792
"10468","I10","custom",726,2899
"10469","I10","Z00.00",650,1963
"10470","I10","custom",81,416
"10471","custom","I10",1113,2970
"10472","I10","E78.5",779,2193
"10473","I10","E78.5",483,1143
"10474","I10","E78.5",110,342
"10475","I10","Z00.00",174,348
"10502","I10","custom",5,24
"10503","custom",NA,2,0
"10507","I10","custom",1,5
"10509","I10","Z00.00",3,17
"10510","E78.5","custom",5,17
"10511","E03.9","E78.4",1,5
"10512","I10","custom",4,24
"10514","custom","E78.5",1,3
"10516","R07.2","J45.909",1,3
"10517","Z68.22","Z11.3",1,1
"10520","I10","M48.00",3,7
"10522","custom","I10",20,45
"10523","custom","I10",9,17
"10524","E78.2","E55.9",1,4
"10526","M81.0","E53.8",1,8
"10528","Z23","Z68.52",5,12
"10530","custom","I10",18,65
"10532","I10","custom",5,29
"10533","custom","E78.5",14,37
"10536","I10","F90.9",2,13
"10537","I10","E78.5",4,30
"10538","custom","R73.09",7,11
"10541","Z13.89","custom",17,28
"10542","custom","Z68.35",2,6
"10543","custom","I10",8,15
"10546","I10","E78.5",1,5
"10547","E78.5","I10",9,46
"10548","Z23","Z00.129",7,9
"10549","custom","G47.00",6,27
"10550","I10","custom",37,175
"10552","I10","custom",31,98
"10553","I10","E78.5",11,47
"10560","Z68.31","R73.09",1,4
"10562","custom","E11.9",13,30
"10566","I10","Z71.3",8,30
"10567","custom","E78.5",25,53
"10570","custom","I10",11,17
"10573","Z71.3","G30.9",4,17
"10576","I45.10","E78.5",1,4
"10577","Z09","I48.2",1,2
"10578","Z71.7","custom",1,1
"10579","custom","I10",8,16
"10580","I10","custom",7,44
"10583","custom","I10",19,47
"10587","Z68.33","V70.0",1,1
"10588","Z00.00","J00",2,5
"10589","custom","Z68.42",2,1
